"id","name","owner_id","encoding","handler","created_at","updated_at"
"1","Test","2","UTF-8","noHandler","2016-05-24 22:43:54","2016-05-24 22:43:54"
"7","Test 1","2","UTF-8","noHandler","2016-11-23 19:04:11","2016-11-23 19:04:11"
"8","articles AYGI","2","UTF-8","noHandler","2016-11-24 00:52:50","2016-11-24 00:52:50"
"11","articles KATHIMERINI","2","UTF-8","noHandler","2016-11-24 16:36:19","2016-11-24 16:36:19"
"12","articles News 247","2","UTF-8","noHandler","2016-11-24 16:37:06","2016-11-24 16:37:06"
"13","Omilies Bouli","2","UTF-8","noHandler","2016-11-24 16:51:38","2016-11-24 16:51:38"
"14","articles Proto Thema","2","UTF-8","noHandler","2017-02-13 16:11:08","2017-02-13 16:11:08"
"15","articles Huffington Post","2","UTF-8","noHandler","2017-02-13 16:20:12","2017-02-13 16:20:12"
"16","Annotation1","2","UTF-8","noHandler","2017-07-03 12:48:38","2017-07-03 12:48:38"
"17","Test Collection","2","UTF-8","noHandler","2017-07-03 14:59:34","2017-07-03 14:59:34"
"18","Annotation1to10","2","UTF-8","noHandler","2017-07-04 11:57:35","2017-07-04 12:08:21"
"19","Annotation11to20","2","UTF-8","noHandler","2017-07-06 11:49:52","2017-07-06 11:49:52"
"20","AnnotationMandenaki","2","UTF-8","noHandler","2017-07-06 14:00:35","2017-07-06 14:00:35"
"21","Mandenaki avgi 2","2","UTF-8","noHandler","2017-07-10 13:05:41","2017-07-10 13:05:41"
"22","Omilies Voulis","2","UTF-8","noHandler","2017-07-11 18:19:34","2017-07-11 18:19:34"
"23","test","2","UTF-8","noHandler","2017-07-20 16:13:08","2017-07-20 16:13:08"
"24","Col1","2","UTF-8","noHandler","2017-09-17 01:21:09","2017-09-17 01:21:09"
"25","Cinderella","2","UTF-8","noHandler","2018-02-21 22:30:00","2018-02-21 22:30:00"
"26","test","2","UTF-8","noHandler","2018-05-02 16:51:14","2018-05-02 16:51:14"
"27","Pollux, Onomasticon","2","UTF-8","noHandler","2018-11-28 12:24:35","2018-11-28 12:24:35"
"28","first","2","UTF-8","noHandler","2019-02-28 14:14:30","2019-02-28 14:14:30"
"29","Google Play User Reviews for Argument Mining","2","UTF-8","noHandler","2020-04-11 12:39:07","2020-04-11 12:39:07"
"32","DebateLab 1 Kasteli","2","UTF-8","noHandler","2020-06-18 07:11:18","2020-06-18 07:11:18"
"33","Lorem","1","UTF-8","noHandler","2020-07-16 11:45:46","2020-07-16 11:45:46"
"34","Lorem_ipsum","42","UTF-8","noHandler","2020-07-23 16:58:51","2020-07-23 16:58:51"
"35","hotel_reviews_positive","46","UTF-8","noHandler","2020-08-31 15:23:10","2020-08-31 15:23:10"
"37","hotel_reviews_negative","47","UTF-8","noHandler","2020-09-01 16:43:17","2020-09-01 16:43:17"
"38","Lorem_ipsum","50","UTF-8","noHandler","2020-09-23 21:17:58","2020-09-23 21:17:58"
"39","test","52","UTF-8","handler1","2020-10-20 21:49:36","2020-10-20 21:49:36"
"40","asddfasdad","52","UTF-8","handler2","2020-10-20 21:57:30","2020-10-20 21:57:30"
"41","Zotos Thesis","53","UTF-8","noHandler","2020-12-13 10:53:41","2020-12-13 10:53:41"
"42","AAA Test Long","1","UTF-8","noHandler","2020-12-24 13:32:55","2020-12-24 13:32:55"
"43","AAA Test 2","1","UTF-8","noHandler","2020-12-29 10:58:04","2020-12-29 10:58:04"
"44","Collection1","58","UTF-8","handler1","2021-03-10 09:11:05","2021-03-10 09:11:05"
"49","Document test","62","UTF-8","noHandler","2021-03-31 14:09:44","2021-03-31 14:09:44"
"51","Pilot3 - D. L. Ashliman - The Grimm Brothers' Children's and Household Tales","60","UTF-8","noHandler","2021-04-20 20:00:44","2021-04-20 20:00:44"
"53","Video Game Reviews","53","UTF-8","noHandler","2021-04-21 21:17:35","2021-04-21 21:17:35"
"56","Pilot 1 - Perseus - Comedies","60","UTF-8","noHandler","2021-04-29 11:09:39","2021-04-29 11:09:39"
"57","Pilot 1 - Perseus - Comedy Plays","85","UTF-8","noHandler","2021-04-29 11:26:58","2021-04-29 11:26:58"
"58","Flores_apagar","78","UTF-8","noHandler","2021-04-29 11:34:36","2021-04-29 11:34:36"
"65","Pilot 1-Aristophanes-Perseus","60","UTF-8","tei","2021-05-05 17:46:26","2021-05-05 17:46:26"
"66","Pilot 1-Aeschylus-Perseus","60","UTF-8","tei","2021-05-05 17:47:24","2021-05-05 17:47:24"
"67","Pilot 1-Euripides-Perseus","60","UTF-8","tei","2021-05-05 17:48:16","2021-05-05 17:48:16"
"68","Pilot 1-Sophocles-Perseus","60","UTF-8","tei","2021-05-05 17:49:00","2021-05-05 17:49:00"
"69","Bacon, New Atlantis","64","UTF-8","none","2021-05-06 08:42:11","2021-05-06 08:42:11"
"70","Kepler, Dissertatio cum nuncio sidereo","64","UTF-8","none","2021-05-12 09:20:28","2021-05-12 09:20:28"
"71","Grimm collection (mine)","77","UTF-8","none","2021-05-12 10:29:35","2021-05-12 10:29:35"
"72","Grimm snow white","76","UTF-8","none","2021-05-12 12:17:13","2021-05-12 12:17:13"
"77","Intro","50","UTF-8","none","2021-05-17 08:30:32","2021-05-17 08:30:32"
"78","Intro1","50","UTF-8","none","2021-05-17 08:30:56","2021-05-17 08:30:56"
"80","Test","58","UTF-8","none","2021-05-18 10:05:44","2021-05-18 10:05:44"
"82","Collection1","50","UTF-8","none","2021-05-20 12:49:23","2021-05-20 12:49:23"
