"user_id","collection_id","document_id","annotator_type","db_interactions","created_at","updated_at"
"2","32","207","Button_Annotator_neutral_argument_type_Generic","16","2021-05-11 09:49:29","2021-05-11 09:49:30"
"50","44","2953","Button_Annotator_greek_token_pos_HBrill","0","2021-05-21 08:27:40","2021-05-21 08:27:40"
"53","53","3003","Coreference_Annotator_neutral_aspect+polarity_Games","5","2021-05-19 14:37:34","2021-05-19 15:23:13"
"60","65","3037","Button_Annotator_neutral_VAST_value_type_Generic","0","2021-05-21 08:32:18","2021-05-21 08:32:18"
"64","70","3062","Button_Annotator_neutral_VAST_value_type_Generic","0","2021-05-17 13:28:06","2021-05-17 14:28:24"
"76","72","3061","Button_Annotator_neutral_VAST_value_type_Generic","0","2021-05-12 12:26:49","2021-05-12 13:03:45"
"77","71","3082","Button_Annotator_neutral_VAST_value_type_Generic","0","2021-05-20 14:39:05","2021-05-20 16:04:11"
"78","58","3019","Button_Annotator_neutral_VAST_value_type_Generic","0","2021-04-29 11:35:05","2021-04-29 11:38:52"
"85","65","3034","Button_Annotator_neutral_VAST_value_type_Generic","0","2021-05-07 11:57:41","2021-05-07 11:57:41"
"88","57","3018","Button_Annotator_neutral_VAST_value_type_Generic","0","2021-05-06 08:45:03","2021-05-06 08:45:03"
